"Variable / Field Name" "Form Name" "CTCC Name" "Section Header" "Field Type" "Field Label" "Choices, Calculations, OR Slider Labels" "Field Note" "Text Validation Type OR Show Slider Number"
"44" "hoehnyahrstagescor" "mdsupdrs" "NHY" "HOEHN AND YAHR STAGE" "radio" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - Hoehn and Yahr stage score" "0, 0 (Asymptomatic) | 1, 1 (Unilateral involvement only) | 2, 2 (Bilateral involvement without impairment of balance) | 3, 3 (Mild to moderate involvement, some postural instability but physically independent, needs assistance to recover from pull test) | 4, 4 (Severe disability, still able to walk or stand unassisted) | 5, 5 (Wheelchair bound or bedridden unless aided)" NA NA
"45" "mdsupdrsttlhrawkdysknum" "mdsupdrs" NA "Instructions to examiner: Determine the hours in the usual waking day and then the hours of
dyskinesias. Calculate the percentage. If the patient has dyskinesias in the office, you can point them out as a reference to ensure that patients and caregivers understand what they are rating. You may also use your own acting skills to enact the dyskinetic movements you have seen in the patient before or show them dyskinetic movements typical of other patients. Exclude from this question early morning and nighttime painful dystonia. 

Instructions to patient [and caregiver]: Over the past week, how many hours do you usually sleep on a daily basis, including nighttime sleep and daytime napping? Alright, if you sleep ___ hrs, you are awake ____ hrs. Out of those awake hours, how many hours in total do you have wiggling, twitching or jerking movements? Do not count the times when you have tremor, which is a regular back and forth shaking or times when you have painful foot cramps or spasms in the early morning or at nighttime. I will ask about those later. Concentrate only on these types of wiggling, jerking and irregular movements. Add up all the time during the waking day when these usually occur. How many hours ____ (use this number for your calculations)." "text" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - total hours awake number" NA NA "integer"
"46" "mdsupdrsttlhrdysknum" "mdsupdrs" NA NA "text" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - total hours with dyskinesia number" NA NA "integer"
"47" "mdsupdrsprcntdyskval" "mdsupdrs" NA NA "text" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - percent dyskinesia value" NA NA "integer"
"48" "mdsupdrstmspntdyskscore" "mdsupdrs" "NP4WDYSK" "4.1 TIME SPENT WITH DYSKINESIAS" "radio" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - time spent with dyskinesia score" "0, 0 (Normal: no dyskinesias) | 1, 1 (Slight:=25perecent of waking day) | 2, 2 (Mild: 26-50 percent of waking day) | 3, 3 (Moderate: 51-75 percent of waking day) | 4, 4 (Severe: > 75 percent of waking day) | 000, (Unable To Rate)" NA NA
"49" "funcimpactdyskscor" "mdsupdrs" "NP4DYSKI" "4.2 FUNCTIONAL IMPACT OF DYSKINESIAS" "radio" "Instructions to examiner: Determine the degree to which dyskinesias impact on the patient's daily function in terms of activities and social interactions. Use the patient's and caregiver's response to your question and your own observations during the office visit to arrive at the best answer. 

Instructions to patient [and caregiver]: Over the past week, did you usually have trouble doing things or being with people when these jerking movements occurred? Did they stop you from doing things or from being with people?" "0, 0 (Normal: No dyskinesias or no impact by dyskinesias on activities or social interactions) | 1, 1 (Slight: Dyskinesias impact on a few activities, but the patient usually performs all activities and participates in all social interactions during dyskinetic periods) | 2, 2 (Mild: Dyskinesias impact on many activities, but the patient usually performs all activities and participates in all social interactions during dyskinetic periods) | 3, 3 (Moderate: Dyskinesias impact on activities to the point that the patient usually does not perform some activities or does not usually participate in some social activities during dyskinetic episodes) | 4, 4 (Severe: Dyskinesias impact on function to the point that the patient usually does not perform most activities or participate in most social interactions during dyskinetic episodes.) | 000, (Unable To Rate)" NA NA
"50" "ttlhrawkoffstatenu" "mdsupdrs" NA "B. MOTOR FLUCTUATIONS


Instructions to examiner: Use the number of waking hours derived from 4.1 and determine the hours spent in the \"OFF\" state. Calculate the percentage. If the patient has an OFF period in the office, you can point to this state as a reference. You may also use your knowledge of the patient to describe a typical OFF period. Additionally you may use your own acting skills to enact an OFF period you have seen in the patient before or show them OFF function typical of other patients. Mark down the typical number of OFF hours, because you will need this number for completing 4.6.

Instructions to patient [and caregiver]: Some patients with Parkinson's disease have a good effect from their medications throughout their awake hours and we call that \"ON\" time. Other patients take their medications but still have some hours of low time, bad time, slow time or shaking time. Doctors call these low periods \"OFF\" time. Over the past week, you told me before that you are general awake ____ hrs each day. Out of these awake hours, how many hours in total do you usually have this type of low level or OFF function ____ (use this number for your calculations)." "text" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - total hour awake number" NA NA "integer"
"51" "mdsupdrsttlhroffnum" "mdsupdrs" NA NA "text" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - total hour off number" NA NA "integer"
"52" "mdsupdrsprcntoffval" "mdsupdrs" NA NA "text" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - percent off value" NA NA "integer"
"53" "tmspntoffstatescor" "mdsupdrs" "NP4OFF" "4.3 TIME SPENT IN THE OFF STATE" "radio" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - time spent in off state score" "0, 0 (Normal: No OFF time) | 1, 1 (Slight: less than or equal to 25 percent of waking day) | 2, 2 (Mild: 26 - 50 percent of waking day) | 3, 3 (Moderate: 51 - 75 percent of waking day) | 4, 4 (Severe: greater than 75 percent of waking day) | 000, (Unable To Rate)" NA NA
"54" "funcimpactfluctsco" "mdsupdrs" "NP4FLCTI" "4.4 FUNCTIONAL IMPACT OF FLUCTUATIONS" "radio" "Instructions to examiner: Determine the degree to which motor fluctuations impact on the patient's daily function in terms of activities and social interactions. This question concentrates on the difference between the ON state and the OFF state. If the patient has no OFF time, the rating must be 0, but if patients have very mild fluctuations, it is still possible to be rated 0 on this item if no impact on activities occurs. Use the patient's and caregiver's response to your question and your own observations during the office visit to arrive at the best answer.

Instructions to patient [and caregiver]: Think about when those low or \"OFF\" periods have occurred over the past week. Do you usually have more problems doing things or being with people than compared to the rest of the day when you feel your medications working? Are there some things you usually do during a good period that you have trouble with or stop doing during a low period?" "0, 0 (Normal: No fluctuations or No impact by fluctuations on performance of activities or social interactions) | 1, 1 (Slight: Fluctuations impact on a few activities, but during OFF, the patient usually performs all activities and participates in all social interactions that typically occur during the ON state) | 2, 2 (Mild: Fluctuations impact many activities, but during OFF, the patient still usually performs all activities and participates in all social interactions that typically occur during the ON state) | 3, 3 (Moderate: Fluctuations impact on the performance of activities during OFF to the point that the patient usually does not perform some activities or participate in some social interactions that are performed during ON periods) | 4, 4 (Severe: Fluctuations impact on function to the point that, during OFF, the patient usually does not perform most activities or participate in most social interactions that are performed during ON periods) | 000, (Unable To Rate)" NA NA
"55" "complxtymtrfluctsc" "mdsupdrs" "NP4FLCTX" "4.5 COMPLEXITY OF MOTOR FLUCTUATIONS" "radio" "Instructions to examiner: Determine the usual predictability of OFF function whether due to dose, time of day, food intake or other factors. Use the information provided by the patients and caregiver and supplement with your own observations. You will ask if the patient can count on them always coming at a special time, mostly coming at a special time (in which case you will probe further to separate slight from mild), only sometimes coming at a special time or are they totally unpredictable? Narrowing down the percentage will allow you to find the correct answer.

Instructions to patient [and caregiver]: For some patients, the low or \"OFF\" periods happen at certain times during day or when they do activities like eating or exercising. Over the past week, do you usually know when your low periods will occur? In other words, do your low periods always come at a certain time? Do they mostly come at a certain time? Do they only sometimes come at a certain time? Are your low periods totally unpredictable?\"" "0, 0 (Normal: No motor fluctuations) | 1, 1 (Slight: OFF times are predictable all or almost all of the time (greater than 75 percent)) | 2, 2 (Mild: OFF times are predictable most of the time (51-75 percent)) | 3, 3 (Moderate: OFF times are predictable some of the time (26-50 percent)) | 4, 4 (Severe: OFF episodes are rarely predictable (less than 25 percent)) | 000, (Unable To Rate)" NA NA
"56" "ttlhroffdemndystni" "mdsupdrs" NA "C. \"OFF\" DYSTONIA

Instructions to examiner: For patients who have motor fluctuations, determine what proportion of the OFF episodes usually includes painful dystonia? You have already determined the number of hours of \"OFF\" time (4.3). Of these hours, determine how many are associated with dystonia and calculate the percentage. If there is no OFF time, mark 0. 

Instructions to patient [and caregiver]: In one of the questions I asked earlier, you said you generally have ____ hours of low or \"OFF\" time when your Parkinson's disease is under poor control. During these low or \"OFF\" periods, do you usually have painful cramps or spasms? Out of the total ____ hrs of this low time, if you add up all the time in a day when these painful cramps come, how many hours would this make?" "text" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - total hour off denominator dystonia number" NA NA "integer"
"57" "ttlhroffwdystnianu" "mdsupdrs" NA NA "text" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - total hour off with dystonia number" NA NA "integer"
"58" "prcntoffdystniaval" "mdsupdrs" NA NA "text" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - percent off dystonia value" NA NA "integer"
"59" "painfloffstatdystn" "mdsupdrs" "NP4DYSTN" "4.6 PAINFUL OFF-STATE DYSTONIA" "radio" "Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - painful off state dystonia score" "0, 0 (Normal: No dystonia OR NO OFF TIME) | 1, 1 (Slight: < 25% of time in OFF state) | 2, 2 (Mild: 26-50% of time in OFF state) | 3, 3 (Moderate: 51-75% of time in OFF state) | 4, 4 (Severe: > 75% of time in OFF state.) | 000, (Unable To Rate)" NA NA
"60" "qstnnreinfoprovdrt" "prebaseline_survey" "NPSRC1B2" "MDS-UPDRS Part I - Patient Questionnaire" "radio" "Who is filling out this questionnaire (check the best answer)" "1, Caregiver | 2, Patient | 3, Patient and Caregiver in Equal Proportion" NA NA
"61" "mdsupdrssleepprobscore" "prebaseline_survey" "NP1SLPN" "1.7 SLEEP PROBLEMS" "radio" "Over the past week, have you had trouble going to sleep at night or staying asleep through the night? Consider how rested you felt after waking up in the morning." "0, 0 (Normal: No problems) | 1, 1 (Slight: Sleep problems are present but usually do not cause trouble getting a full night of sleep) | 2, 2 (Mild: Sleep problems usually cause some difficulties getting a full night of sleep) | 3, 3 (Moderate: Sleep problems cause a lot of difficulties getting a full night of sleep, but I still usually sleep for more than half the night) | 4, 4 (Severe: I usually do not sleep for most of the night)" NA NA
"62" "mdsupdrsdaytmsleepscore" "prebaseline_survey" "NP1SLPD" "1.8 DAYTIME SLEEPINESS" "radio" "Over the past week, have you
had trouble staying awake during the daytime?" "0, 0 (Normal: No daytime sleepiness.) | 1, 1 (Slight: Daytime sleepiness occurs but I can resist and I stay awake) | 2, 2 (Mild: Sometimes I fall asleep when alone and relaxing. For example, while reading or watching TV) | 3, 3 (Moderate: I sometimes fall asleep when I should not. For example, while eating or talking with other people) | 4, 4 (Severe: I often fall asleep when I should not. For example, while eating or talking with other people)" NA NA
"63" "mdsupdrspainothrsensscore" "prebaseline_survey" "NP1PAIN" "1.9 PAIN AND OTHER SENSATIONS" "radio" "Over the past week, have you had uncomfortable feelings in your body like pain, aches, tingling or cramps?" "0, 0 (Normal: No uncomfortable feelings.) | 1, 1 (Slight: I have these feelings. However, I can do things and be with other people without difficulty) | 2, 2 (Mild: These feelings cause some problems when I do things or am with other people) | 3, 3 (Moderate: These feelings cause a lot of problems, but they do not stop me from doing things or being with other people) | 4, 4 (Severe: These feelings stop me from doing things or being with other people)" NA NA
"64" "mdsupdrsurnryprobscore" "prebaseline_survey" "NP1URIN" "1.10 URINARY PROBLEMS" "radio" "Over the past week, have you had trouble with urine control? For example, an urgent need to urinate, a need to urinate too often, or urine accidents?" "0, 0 (Normal: No urine control problems) | 1, 1 (Slight: I need to urinate often or urgently. However, these problems do not cause difficulties with my daily activities) | 2, 2 (Mild: Urine problems cause some difficulties with my daily activities. However, I do not have urine accidents) | 3, 3 (Moderate: Urine problems cause a lot of difficulties with my daily activities, including urine accidents) | 4, 4 (Severe: I cannot control my urine and use a protective garment or have a bladder tube)" NA NA
"65" "mdsupdrsconstipprobscore" "prebaseline_survey" "NP1CNST" "1.11 CONSTIPATION PROBLEMS" "radio" "Over the past week have you had constipation troubles that cause you difficulty moving your bowels?" "0, 0 (Normal: No constipation) | 1, 1 (Slight: I have been constipated. I use extra effort to move my bowels. However, this problem does not disturb my activities or my being comfortable) | 2, 2 (Mild: Constipation causes me to have some troubles doing things or being comfortable) | 3, 3 (Moderate: Constipation causes me to have a lot of trouble doing things or being comfortable. However, it does not stop me from doing anything) | 4, 4 (Severe: I usually need physical help from someone else to empty my bowels)" NA NA
"66" "liteheadstndngscor" "prebaseline_survey" "NP1LTHD" "1.12 LIGHT HEADEDNESS ON STANDING" "radio" "Over the past week, have you felt faint, dizzy or foggy when you stand up after sitting or lying down?" "0, 0 (Normal: No dizzy or foggy feelings) | 1, 1 (Slight: Dizzy or foggy feelings occur. However, they do not cause me troubles doing things) | 2, 2 (Mild: Dizzy or foggy feelings cause me to hold on to something, but I do not need to sit or lie back down) | 3, 3 (Moderate: Dizzy or foggy feelings cause me to sit or lie down to avoid fainting or falling) | 4, 4 (Severe: Dizzy or foggy feelings cause me to fall or faint)" NA NA
"67" "mdsupdrsfatiguescore" "prebaseline_survey" "NP1FATG" "1.13 FATIGUE" "radio" "Over the past week, have you usually felt fatigued? This feeling is not part of being sleepy or sad" "0, 0 (Normal: No fatigue) | 1, 1 (Slight: Fatigue occurs. However it does not cause me troubles doing things or being with people) | 2, 2 (Mild: Fatigue causes me some troubles doing things or being with people) | 3, 3 (Moderate: Fatigue causes me a lot of troubles doing things or being with people. However, it does not stop me from doing anything) | 4, 4 (Severe: Fatigue stops me from doing things or being with people)" NA NA
"68" "mdsupdrsspeechscore" "prebaseline_survey" "NP2SPCH" "2.1 SPEECH" "radio" "Over the past week, have you had problems with your speech?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: My speech is soft, slurred or uneven, but it does not cause others to ask me to repeat myself) | 2, 2 (Mild: My speech causes people to ask me to occasionally repeat myself, but not everyday) | 3, 3 (Moderate: My speech is unclear enough that others ask me to repeat myself every day even though most of my speech is understood) | 4, 4 (Severe: Most or all of my speech cannot be understood)" NA NA
"69" "mdsupdrsslivadroolscore" "prebaseline_survey" "NP2SALV" "2.2 SALIVA & DROOLING" "radio" "Over the past week, have you usually had too much saliva during when you are awake
or when you sleep?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I have too much saliva, but do not drool) | 2, 2 (Mild: I have some drooling during sleep, but none when I am awake) | 3, 3 (Moderate: I have some drooling when I am awake, but I usually do not need tissues or a handkerchief) | 4, 4 (Severe: I have so much drooling that I regularly need to use tissues or a handkerchief to protect my clothes)" NA NA
"70" "mdsupdrschwngswllwngscore" "prebaseline_survey" "NP2SWAL" "2.3 CHEWING AND SWALLOWING" "radio" "Over the past week, have you usually had problems swallowing pills or eating meals?
Do you need your pills cut or crushed or your meals to be made soft, chopped or blended to avoid choking?" "0, 0 (Normal: No problems) | 1, 1 (Slight: I am aware of slowness in my chewing or increased effort at swallowing, but I do not choke or need to have my food specially prepared) | 2, 2 (Mild: I need to have my pills cut or my food specially prepared because of chewing or swallowing problems, but I have not choked over the past week) | 3, 3 (Moderate. I choked at least once in the past week) | 4, 4 (Severe: Because of chewing and swallowing problems, I need a feeding tube)" NA NA
"71" "mdsupdrseatingtskscore" "prebaseline_survey" "NP2EAT" "2.4 EATING TASKS" "radio" "Over the past week, have you usually had troubles handling your food and using eating utensils? For example, do you have trouble handling finger foods or using forks, knifes, spoons, chopsticks?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slow, but I do not need any help handling my food and have not had food spills while eating) | 2, 2 (Mild: I am slow with my eating and have occasional food spills. I may need help with a few tasks such as cutting meat) | 3, 3 (Moderate: I need help with many eating tasks but can manage some alone) | 4, 4 (Severe: I need help for most or all eating tasks)" NA NA
"72" "mdsupdrsdressingscore" "prebaseline_survey" "NP2DRES" "2.5 DRESSING" "radio" "Over the past week, have you usually had problems dressing? For example, are you slow or do you need help with buttoning, using zippers, putting on or taking off your clothes or jewelry?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slow but I do not need help) | 2, 2 (Mild: I am slow and need help for a few dressing tasks (buttons, bracelets)) | 3, 3 (Moderate: I need help for many dressing tasks) | 4, 4 (Severe: I need help for most or all dressing tasks)" NA NA
"73" "mdsupdrshygienescore" "prebaseline_survey" "NP2HYGN" "2.6 HYGIENE" "radio" "Over the past week, have you usually been slow or do you need help with washing, bathing, shaving, brushing teeth, combing your hair or with other personal hygiene?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slow but I do not need any help) | 2, 2 (Mild: I need someone else to help me with some hygiene tasks) | 3, 3 (Moderate: I need help for many hygiene tasks) | 4, 4 (Severe: I need help for most or all of my hygiene tasks)" NA NA
"74" "mdsupdrshandwritingscore" "prebaseline_survey" "NP2HWRT" "2.7 HANDWRITING" "radio" "Over the past week, have people usually had trouble reading your handwriting?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: My writing is slow, clumsy or uneven, but all words are clear) | 2, 2 (Mild: Some words are unclear and difficult to read) | 3, 3 (Moderate: Many words are unclear and difficult to read) | 4, 4 (Severe: Most or all words cannot be read)" NA NA
"75" "hobbieothractscore" "prebaseline_survey" "NP2HOBB" "2.8 DOING HOBBIES AND OTHER ACTIVITIES" "radio" "Over the past week, have you usually had trouble doing your hobbies or other things
that you like to do?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am a bit slow but do these activities easily) | 2, 2 (Mild: I have some difficulty doing these activities) | 3, 3 (Moderate: I have major problems doing these activities, but still do most) | 4, 4 (Severe: I am unable to do most or all of these activities)" NA NA
"76" "mdsupdrsturngbedscore" "prebaseline_survey" "NP2TURN" "2.9 TURNING IN BED" "radio" "Over the past week, do you usually have trouble turning over in bed?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I have a bit of trouble turning, but I do not need any help) | 2, 2 (Mild I have a lot of trouble turning and need occasional help from someone else) | 3, 3 (Moderate: To turn over I often need help from someone else) | 4, 4 (Severe: I am unable to turn over without help from someone else)" NA NA
"77" "mdsupdrstremorscore" "prebaseline_survey" "NP2TRMR" "2.10 TREMOR" "radio" "Over the past week, have you usually had shaking or tremor?" "0, 0 (Normal: Not at all. I have no shaking or tremor) | 1, 1 (Slight: Shaking or tremor occurs but does not cause problems with any activities) | 2, 2 (Mild: Shaking or tremor causes problems with only a few activities) | 3, 3 (Moderate: Shaking or tremor causes problems with many of my daily activities) | 4, 4 (Severe: Shaking or tremor causes problems with most or all activities)" NA NA
"78" "mdsupdrsgttngoutbedscore" "prebaseline_survey" "NP2RISE" "2.11 GETTING OUT OF BED, A CAR, OR A DEEP CHAIR" "radio" "Over the past week, have you usually had trouble getting out of bed, a car seat, or a deep chair?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slow or awkward, but I usually can do it on my first try) | 2, 2 (Mild: I need more than one try to get up or need occasional help) | 3, 3 (Moderate: I sometimes need help to get up, but most times I can still do it on my own) | 4, 4 (Severe: I need help most or all of the time)" NA NA
"79" "mdsupdrswlkngbalancescore" "prebaseline_survey" "NP2WALK" "2.12 WALKING AND BALANCE" "radio" "Over the past week, have you usually had problems with balance and walking?" "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I am slightly slow or may drag a leg. I never use a walking aid) | 2, 2 (Mild: I occasionally use a walking aid, but I do not need any help from another person) | 3, 3 (Moderate: I usually use a walking aid (cane, walker) to walk safely without falling. However, I do not usually need the support of another person) | 4, 4 (Severe: I usually use the support of another persons to walk safely without falling)" NA NA
"80" "mdsupdrsfreezingscore" "prebaseline_survey" "NP2FREZ" "2.13 FREEZING" "radio" "Over the past week, on your usual day when walking, do you suddenly stop or freeze as if your feet are stuck to the floor." "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I briefly freeze but I can easily start walking again. I do not need help from someone else or a walking aid (cane or walker) because of freezing) | 2, 2 (Mild: I freeze and have trouble starting to walk again, but I do not need someone's help or a walking aid (cane or walker) because of freezing) | 3, 3 (Moderate: When I freeze I have a lot of trouble starting to walk again and, because of freezing, I sometimes need to use a walking aid or need someone else's help) | 4, 4 (Severe: Because of freezing, most or all of the time, I need to use a walking aid or someone's help)" NA NA
"81" "mdsupdrsptntprknsnmedind_v2" "substudy_mdsupdrs_part_iii" "PDMEDYN" NA "yesno" "3a <span style=\"font-weight:normal\">Is the patient on medication for treating the symptoms of Parkinson's Disease?" NA NA NA
"82" "mdsupdrsptclinstateprknsnm_v2" "substudy_mdsupdrs_part_iii" "PDSTATE" NA "radio" "3b <span style=\"font-weight:normal\">If the patient is receiving medication for treating the symptoms of Parkinson's Disease, mark the patient's clinical state using the following definitions:" "1, ON: On is the typical functional state when patients are receiving medication and have a good response. | 0, OFF: Off is the typical functional state when patients have a poor response in spite of taking medications." NA NA
"83" "mdsupdrsptntuseldopaind_v2" "substudy_mdsupdrs_part_iii" "ONLDOPA" NA "yesno" "3c <span style=\"font-weight:normal\">Is the patient on Levodopa?" NA NA NA
"84" "mdsupdrslstldopadosetm_v2" "substudy_mdsupdrs_part_iii" "LSTDSMIN" NA "text" "3.C1 <span style=\"font-weight:normal\">If yes, minutes since last levodopa dose:" NA "Minutes" "number"
"85" "mdsupdrsfreeflowspeechscor_v2" "substudy_mdsupdrs_part_iii" "NP3SPCH" "3.1 SPEECH" "radio" "<span style=\"font-weight:normal\"><u>Instructions to examiner</u>: Listen to the patient's free-flowing speech and engage in conversation if
necessary. Suggested topics: ask about the patient's work, hobbies, exercise, or how he got to the doctor's office. Evaluate volume, modulation (prosody) and clarity, including slurring, palilalia (repetition of syllables) and tachyphemia (rapid speech, running syllables together)." "0, 0 Normal: No speech problems. | 1, 1 Slight: Loss of modulation, diction or volume, but still all words easy to understand. | 2, 2 Mild: Loss of modulation, diction, or volume, with a few words unclear, but the overall sentences easy to follow. | 3, 3 Moderate: Speech is difficult to understand to the point that some, but not most, sentences are poorly understood. | 4, 4 Severe: Most speech is difficult to understand or unintelligible. | 555, Unable to Rate." NA NA
"86" "mdsupdrsfacialexprscore_v2" "substudy_mdsupdrs_part_iii" "NP3FACXP" "3.2 FACIAL EXPRESSION" "radio" "<span style=\"font-weight:normal\"><u>Instructions to examiner</u>: Observe the patient sitting at rest for 10 seconds, without talking and also while talking. Observe eye-blink frequency, masked faces or loss of facial expression, spontaneous smiling and parting of lips." "0, 0 Normal: Normal facial expression. | 1, 1 Slight: Minimal masked faces manifested only by decreased frequency of blinking. | 2, 2 Mild: In addition to decreased eye-blink frequency, Masked faces present in the lower face as well, namely fewer movements around the mouth, such as less spontaneous smiling, but lips not parted. | 3, 3 Moderate: Masked faces with lips parted some of the time when the mouth is at rest. | 4, 4 Severe: Masked faces with lips parted most of the time when the mouth is at rest. | 555, Unable to Rate." NA NA
"87" "neck" "substudy_mdsupdrs_part_iii" "NP3RIGN" "3.3 RIGIDITY" "radio" "<span style=\"font-weight:normal\">Neck" "0, 0: Normal: No rigidity. | 1, 1: Slight: Rigidity only detected with activation maneuver. | 2, 2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved. | 3, 3: Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort. | 4, 4: Severe: Rigidity detected without the activation maneuver and full range of motion not achieved. | 000, Unable to Rate." NA NA
"88" "neck_2" "substudy_mdsupdrs_part_iii" "NP3RIGRU" NA "radio" "<span style=\"font-weight:normal\">RUE" "0, 0: Normal: No rigidity. | 1, 1: Slight: Rigidity only detected with activation maneuver. | 2, 2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved. | 3, 3: Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort. | 4, 4: Severe: Rigidity detected without the activation maneuver and full range of motion not achieved. | 000, Unable to Rate." NA NA
"89" "neck_3" "substudy_mdsupdrs_part_iii" "NP3RIGLU" NA "radio" "<span style=\"font-weight:normal\">LUE" "0, 0: Normal: No rigidity. | 1, 1: Slight: Rigidity only detected with activation maneuver. | 2, 2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved. | 3, 3: Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort. | 4, 4: Severe: Rigidity detected without the activation maneuver and full range of motion not achieved. | 000, Unable to Rate." NA NA
"90" "neck_4" "substudy_mdsupdrs_part_iii" "NP3RIGRL" NA "radio" "<span style=\"font-weight:normal\">RLE" "0, 0: Normal: No rigidity. | 1, 1: Slight: Rigidity only detected with activation maneuver. | 2, 2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved. | 3, 3: Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort. | 4, 4: Severe: Rigidity detected without the activation maneuver and full range of motion not achieved. | 000, Unable to Rate." NA NA
"91" "neck_5" "substudy_mdsupdrs_part_iii" "NP3RIGLL" NA "radio" "<span style=\"font-weight:normal\">LLE" "0, 0: Normal: No rigidity. | 1, 1: Slight: Rigidity only detected with activation maneuver. | 2, 2: Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved. | 3, 3: Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort. | 4, 4: Severe: Rigidity detected without the activation maneuver and full range of motion not achieved. | 000, Unable to Rate." NA NA
"92" "mdsupdrsfingertppngrtehnds_v2" "substudy_mdsupdrs_part_iii" "NP3FTAPR" "3.4 FINGER TAPPING" "radio" "<span style=\"font-weight:normal\">R" "0, 0 Normal: No problems. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement b) slight slowing c) the amplitude decrements near the end of the 10 taps. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during tapping b) mild slowing c) the amplitude decrements midway in the 10-tap sequence. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement b) moderate slowing c) the amplitude decrements starting after the 1st tap. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
"93" "mdsupdrsfingertppnglfthnds_v2" "substudy_mdsupdrs_part_iii" "NP3FTAPL" NA "radio" "<span style=\"font-weight:normal\">L" "0, 0 Normal: No problems. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement b) slight slowing c) the amplitude decrements near the end of the 10 taps. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during tapping b) mild slowing c) the amplitude decrements midway in the 10-tap sequence. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement b) moderate slowing c) the amplitude decrements starting after the 1st tap. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
"94" "mdsupdrsrtehndscore_v2" "substudy_mdsupdrs_part_iii" "NP3HMOVR" "3.5 HAND MOVEMENTS
" "radio" "<span style=\"font-weight:normal\">R" "0, 0 Normal: No problem. | 1, 1 Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the task. | 2, 2 Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the task. | 3, 3 Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) the amplitude decrements starting after the 1st open-and-close sequence. | 4, 4 Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements. | 555, Unable to Rate." NA NA
